code_departement;libelle_departement;code_commune;libelle_commune;annee_election;tour;inscrits;abstentions;votants;blancs;nuls;blancs_et_nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_blancs_et_nuls_ins;pct_blancs_et_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;numero_panneau;sexe;nom;prenom;voix;pct_voix_ins;pct_voix_exprimes;nuance;source_dataset;date_refresh
69;Rhône;001;Affoux;2022;2;316;49;267;21;9;30;237;15.51;84.49;6.65;7.87;2.85;3.37;9.49;11.24;75.0;88.76;1;M;MACRON;Emmanuel;98;31.01;41.35;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;001;Affoux;2022;2;316;49;267;21;9;30;237;15.51;84.49;6.65;7.87;2.85;3.37;9.49;11.24;75.0;88.76;2;F;LE PEN;Marine;139;43.99;58.65;FN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;002;Aigueperse;2022;2;217;47;170;9;4;13;157;21.66;78.34;4.15;5.29;1.84;2.35;5.99;7.65;72.35;92.35;1;M;MACRON;Emmanuel;74;34.1;47.13;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;002;Aigueperse;2022;2;217;47;170;9;4;13;157;21.66;78.34;4.15;5.29;1.84;2.35;5.99;7.65;72.35;92.35;2;F;LE PEN;Marine;83;38.25;52.87;FN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;003;Albigny-sur-Saône;2022;2;1860;504;1356;81;18;99;1257;27.1;72.9;4.35;5.97;0.97;1.33;5.32;7.3;67.58;92.7;1;M;MACRON;Emmanuel;823;44.25;65.47;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;003;Albigny-sur-Saône;2022;2;1860;504;1356;81;18;99;1257;27.1;72.9;4.35;5.97;0.97;1.33;5.32;7.3;67.58;92.7;2;F;LE PEN;Marine;434;23.33;34.53;FN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;004;Alix;2022;2;470;95;375;35;4;39;336;20.21;79.79;7.45;9.33;0.85;1.07;8.3;10.4;71.49;89.6;1;M;MACRON;Emmanuel;194;41.28;57.74;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;004;Alix;2022;2;470;95;375;35;4;39;336;20.21;79.79;7.45;9.33;0.85;1.07;8.3;10.4;71.49;89.6;2;F;LE PEN;Marine;142;30.21;42.26;FN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;005;Ambérieux;2022;2;407;62;345;10;3;13;332;15.23;84.77;2.46;2.9;0.74;0.87;3.19;3.77;81.57;96.23;1;M;MACRON;Emmanuel;151;37.1;45.48;REM;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
69;Rhône;005;Ambérieux;2022;2;407;62;345;10;3;13;332;15.23;84.77;2.46;2.9;0.74;0.87;3.19;3.77;81.57;96.23;2;F;LE PEN;Marine;181;44.47;54.52;FN;2022-pres-t2-commune-rhone-69-silver.csv;2026-03-28T02:12:19
